state,parent_state,to_move,layer,P(X wins),P(O wins),P(draws)
OXOXOXOX.,OXOXOX.X.,X,8,0.0000000000,1.0000000000,0.0000000000
OXOXOX.XO,OXOXOX.X.,X,8,0.0000000000,1.0000000000,0.0000000000
OXOXOX.X.,OXOXO..X.,O,7,0.0000000000,1.0000000000,0.0000000000
OXOXOOXXX,OXOXOOXX.,O,9,1.0000000000,0.0000000000,0.0000000000
OXOXOOXX.,OXOXO.XX.,X,8,1.0000000000,0.0000000000,0.0000000000
OXOXO.XXO,OXOXO.XX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXOXO.XX.,OXOXO..X.,O,7,0.5000000000,0.5000000000,0.0000000000
OXOXOO.XX,OXOXO..XX,X,8,1.0000000000,0.0000000000,0.0000000000
OXOXO.OXX,OXOXO..XX,X,8,0.0000000000,1.0000000000,0.0000000000
OXOXO..XX,OXOXO..X.,O,7,0.5000000000,0.5000000000,0.0000000000
OXOXO..X.,OXOX...X.,X,6,0.3333333333,0.6666666667,0.0000000000
OXOXXO.X.,OXOX.O.X.,O,7,1.0000000000,0.0000000000,0.0000000000
OXOX.OXXO,OXOX.OXX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXOX.OXX.,OXOX.O.X.,O,7,0.5000000000,0.5000000000,0.0000000000
OXOXXOOXX,OXOX.OOXX,O,9,1.0000000000,0.0000000000,0.0000000000
OXOX.OOXX,OXOX.O.XX,X,8,1.0000000000,0.0000000000,0.0000000000
OXOX.O.XX,OXOX.O.X.,O,7,1.0000000000,0.0000000000,0.0000000000
OXOX.O.X.,OXOX...X.,X,6,0.8333333333,0.1666666667,0.0000000000
OXOXX.OX.,OXOX..OX.,O,7,1.0000000000,0.0000000000,0.0000000000
OXOXXXOXO,OXOX.XOXO,O,9,1.0000000000,0.0000000000,0.0000000000
OXOX.XOXO,OXOX.XOX.,X,8,1.0000000000,0.0000000000,0.0000000000
OXOX.XOX.,OXOX..OX.,O,7,0.5000000000,0.5000000000,0.0000000000
OXOX..OXX,OXOX..OX.,O,7,0.5000000000,0.5000000000,0.0000000000
OXOX..OX.,OXOX...X.,X,6,0.6666666667,0.3333333333,0.0000000000
OXOXX..XO,OXOX...XO,O,7,1.0000000000,0.0000000000,0.0000000000
OXOX.X.XO,OXOX...XO,O,7,0.5000000000,0.5000000000,0.0000000000
OXOX..XXO,OXOX...XO,O,7,0.0000000000,1.0000000000,0.0000000000
OXOX...XO,OXOX...X.,X,6,0.5000000000,0.5000000000,0.0000000000
OXOX...X.,OXO....X.,O,5,0.5833333333,0.4166666667,0.0000000000
OXO.X..X.,OXO....X.,O,5,1.0000000000,0.0000000000,0.0000000000
OXOOXX.X.,OXOO.X.X.,O,7,1.0000000000,0.0000000000,0.0000000000
OXOOOXXXX,OXOOOXXX.,O,9,1.0000000000,0.0000000000,0.0000000000
OXOOOXXX.,OXOO.XXX.,X,8,1.0000000000,0.0000000000,0.0000000000
OXOOXXXXO,OXOO.XXXO,O,9,1.0000000000,0.0000000000,0.0000000000
OXOO.XXXO,OXOO.XXX.,X,8,1.0000000000,0.0000000000,0.0000000000
OXOO.XXX.,OXOO.X.X.,O,7,1.0000000000,0.0000000000,0.0000000000
OXOOOX.XX,OXOO.X.XX,X,8,1.0000000000,0.0000000000,0.0000000000
OXOO.XOXX,OXOO.X.XX,X,8,0.0000000000,1.0000000000,0.0000000000
OXOO.X.XX,OXOO.X.X.,O,7,0.5000000000,0.5000000000,0.0000000000
OXOO.X.X.,OXO..X.X.,X,6,0.8333333333,0.1666666667,0.0000000000
OXO.OXXXO,OXO.OXXX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXO.OXXX.,OXO.OX.X.,O,7,0.5000000000,0.5000000000,0.0000000000
OXO.OXOXX,OXO.OX.XX,X,8,0.0000000000,1.0000000000,0.0000000000
OXO.OX.XX,OXO.OX.X.,O,7,0.5000000000,0.5000000000,0.0000000000
OXO.OX.X.,OXO..X.X.,X,6,0.3333333333,0.6666666667,0.0000000000
OXO.XXOX.,OXO..XOX.,O,7,1.0000000000,0.0000000000,0.0000000000
OXO..XOXX,OXO..XOX.,O,7,0.0000000000,1.0000000000,0.0000000000
OXO..XOX.,OXO..X.X.,X,6,0.5000000000,0.5000000000,0.0000000000
OXO.XX.XO,OXO..X.XO,O,7,1.0000000000,0.0000000000,0.0000000000
OXO..XXXO,OXO..X.XO,O,7,0.5000000000,0.5000000000,0.0000000000
OXO..X.XO,OXO..X.X.,X,6,0.6666666667,0.3333333333,0.0000000000
OXO..X.X.,OXO....X.,O,5,0.5833333333,0.4166666667,0.0000000000
OXOOX.XX.,OXOO..XX.,O,7,1.0000000000,0.0000000000,0.0000000000
OXOO..XXX,OXOO..XX.,O,7,1.0000000000,0.0000000000,0.0000000000
OXOO..XX.,OXO...XX.,X,6,1.0000000000,0.0000000000,0.0000000000
OXO.O.XXX,OXO.O.XX.,O,7,1.0000000000,0.0000000000,0.0000000000
OXO.O.XX.,OXO...XX.,X,6,0.6666666667,0.3333333333,0.0000000000
OXO.XOXX.,OXO..OXX.,O,7,1.0000000000,0.0000000000,0.0000000000
OXO..OXXX,OXO..OXX.,O,7,1.0000000000,0.0000000000,0.0000000000
OXO..OXX.,OXO...XX.,X,6,0.8333333333,0.1666666667,0.0000000000
OXO.X.XXO,OXO...XXO,O,7,1.0000000000,0.0000000000,0.0000000000
OXO...XXO,OXO...XX.,X,6,0.5000000000,0.5000000000,0.0000000000
OXO...XX.,OXO....X.,O,5,0.7500000000,0.2500000000,0.0000000000
OXOOX..XX,OXOO...XX,O,7,1.0000000000,0.0000000000,0.0000000000
OXOO...XX,OXO....XX,X,6,0.8333333333,0.1666666667,0.0000000000
OXO.O..XX,OXO....XX,X,6,0.6666666667,0.3333333333,0.0000000000
OXO.XO.XX,OXO..O.XX,O,7,1.0000000000,0.0000000000,0.0000000000
OXO..O.XX,OXO....XX,X,6,1.0000000000,0.0000000000,0.0000000000
OXO.X.OXX,OXO...OXX,O,7,1.0000000000,0.0000000000,0.0000000000
OXO...OXX,OXO....XX,X,6,0.5000000000,0.5000000000,0.0000000000
OXO....XX,OXO....X.,O,5,0.7500000000,0.2500000000,0.0000000000
OXO....X.,OX.....X.,X,4,0.7333333333,0.2666666667,0.0000000000
OXXOOXOX.,OXXOOX.X.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOOX.XO,OXXOOX.X.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOOX.X.,OXXOO..X.,O,7,0.0000000000,1.0000000000,0.0000000000
OXXOOOXX.,OXXOO.XX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOO.XXO,OXXOO.XX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOO.XX.,OXXOO..X.,O,7,0.0000000000,1.0000000000,0.0000000000
OXXOOO.XX,OXXOO..XX,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOO.OXX,OXXOO..XX,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOO..XX,OXXOO..X.,O,7,0.0000000000,1.0000000000,0.0000000000
OXXOO..X.,OXXO...X.,X,6,0.0000000000,1.0000000000,0.0000000000
OXXOXO.X.,OXXO.O.X.,O,7,1.0000000000,0.0000000000,0.0000000000
OXXOXOXXO,OXXO.OXXO,O,9,1.0000000000,0.0000000000,0.0000000000
OXXO.OXXO,OXXO.OXX.,X,8,1.0000000000,0.0000000000,0.0000000000
OXXO.OXX.,OXXO.O.X.,O,7,0.5000000000,0.5000000000,0.0000000000
OXXO.OOXX,OXXO.O.XX,X,8,0.0000000000,1.0000000000,0.0000000000
OXXO.O.XX,OXXO.O.X.,O,7,0.0000000000,1.0000000000,0.0000000000
OXXO.O.X.,OXXO...X.,X,6,0.5000000000,0.5000000000,0.0000000000
OXXO..OX.,OXXO...X.,X,6,0.0000000000,1.0000000000,0.0000000000
OXXOX..XO,OXXO...XO,O,7,1.0000000000,0.0000000000,0.0000000000
OXXO.XOXO,OXXO.X.XO,X,8,0.0000000000,1.0000000000,0.0000000000
OXXO.X.XO,OXXO...XO,O,7,0.0000000000,1.0000000000,0.0000000000
OXXO..XXO,OXXO...XO,O,7,0.5000000000,0.5000000000,0.0000000000
OXXO...XO,OXXO...X.,X,6,0.5000000000,0.5000000000,0.0000000000
OXXO...X.,OX.O...X.,O,5,0.2500000000,0.7500000000,0.0000000000
OX.OX..X.,OX.O...X.,O,5,1.0000000000,0.0000000000,0.0000000000
OX.OOXXXO,OX.OOXXX.,X,8,0.0000000000,1.0000000000,0.0000000000
OX.OOXXX.,OX.OOX.X.,O,7,0.5000000000,0.5000000000,0.0000000000
OX.OOXOXX,OX.OOX.XX,X,8,0.0000000000,1.0000000000,0.0000000000
OX.OOX.XX,OX.OOX.X.,O,7,0.5000000000,0.5000000000,0.0000000000
OX.OOX.X.,OX.O.X.X.,X,6,0.3333333333,0.6666666667,0.0000000000
OX.O.XOX.,OX.O.X.X.,X,6,0.0000000000,1.0000000000,0.0000000000
OX.OXX.XO,OX.O.X.XO,O,7,1.0000000000,0.0000000000,0.0000000000
OX.O.XXXO,OX.O.X.XO,O,7,0.5000000000,0.5000000000,0.0000000000
OX.O.X.XO,OX.O.X.X.,X,6,0.5000000000,0.5000000000,0.0000000000
OX.O.X.X.,OX.O...X.,O,5,0.4166666667,0.5833333333,0.0000000000
OX.OO.XXX,OX.OO.XX.,O,7,1.0000000000,0.0000000000,0.0000000000
OX.OO.XX.,OX.O..XX.,X,6,0.5000000000,0.5000000000,0.0000000000
OX.OXOXX.,OX.O.OXX.,O,7,1.0000000000,0.0000000000,0.0000000000
OX.O.OXXX,OX.O.OXX.,O,7,1.0000000000,0.0000000000,0.0000000000
OX.O.OXX.,OX.O..XX.,X,6,0.8333333333,0.1666666667,0.0000000000
OX.OX.XXO,OX.O..XXO,O,7,1.0000000000,0.0000000000,0.0000000000
OX.O..XXO,OX.O..XX.,X,6,0.6666666667,0.3333333333,0.0000000000
OX.O..XX.,OX.O...X.,O,5,0.7500000000,0.2500000000,0.0000000000
OX.OO..XX,OX.O...XX,X,6,0.5000000000,0.5000000000,0.0000000000
OX.OXO.XX,OX.O.O.XX,O,7,1.0000000000,0.0000000000,0.0000000000
OX.O.O.XX,OX.O...XX,X,6,0.6666666667,0.3333333333,0.0000000000
OX.O..OXX,OX.O...XX,X,6,0.0000000000,1.0000000000,0.0000000000
OX.O...XX,OX.O...X.,O,5,0.5000000000,0.5000000000,0.0000000000
OX.O...X.,OX.....X.,X,4,0.5833333333,0.4166666667,0.0000000000
OXXXOOOXX,OXXXOOOX.,O,9,0.0000000000,0.0000000000,1.0000000000
OXXXOOOX.,OXXXOO.X.,X,8,0.0000000000,0.0000000000,1.0000000000
OXXXOO.XO,OXXXOO.X.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXXOO.X.,OXX.OO.X.,O,7,0.0000000000,0.5000000000,0.5000000000
OXX.OOXXO,OXX.OOXX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXX.OOXX.,OXX.OO.X.,O,7,0.0000000000,1.0000000000,0.0000000000
OXX.OOOXX,OXX.OO.XX,X,8,0.0000000000,0.0000000000,1.0000000000
OXX.OO.XX,OXX.OO.X.,O,7,0.0000000000,0.5000000000,0.5000000000
OXX.OO.X.,OXX.O..X.,X,6,0.0000000000,0.6666666667,0.3333333333
OXXXO.OXO,OXXXO.OX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXXO.OX.,OXX.O.OX.,O,7,0.0000000000,0.5000000000,0.5000000000
OXX.OXOXO,OXX.OXOX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXX.OXOX.,OXX.O.OX.,O,7,0.0000000000,1.0000000000,0.0000000000
OXX.O.OXX,OXX.O.OX.,O,7,0.0000000000,0.5000000000,0.5000000000
OXX.O.OX.,OXX.O..X.,X,6,0.0000000000,0.6666666667,0.3333333333
OXX.O..XO,OXX.O..X.,X,6,0.0000000000,1.0000000000,0.0000000000
OXX.O..X.,OX..O..X.,O,5,0.0000000000,0.8333333333,0.1666666667
OX.XOOXXO,OX.XOOXX.,X,8,0.0000000000,1.0000000000,0.0000000000
