state,parent_state,to_move,layer,P(X wins),P(X wins) difference,P(O wins),P(O wins) difference,P(draws),P(draws) difference
OXOXOXO.X,OXOXOX..X,X,8,0.0,0.0,1.0,0.5,0.0,-0.5
OXOXOXXOX,OXOXOX.OX,O,9,0.0,0.0,0.0,0.0,1.0,0.0
OXOXOX.OX,OXOXOX..X,X,8,0.0,0.0,0.0,-0.5,1.0,0.5
OXOXOX..X,OXOXO...X,O,7,0.0,-0.3333333333,0.5,0.16666666670000002,0.5,0.16666666670000002
OXOXOOXXX,OXOXOOX.X,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOXOOX.X,OXOXO.X.X,X,8,1.0,0.5,0.0,0.0,0.0,-0.5
OXOXO.XOX,OXOXO.X.X,X,8,0.0,-0.5,0.0,0.0,1.0,0.5
OXOXO.X.X,OXOXO...X,O,7,0.5,0.16666666670000002,0.0,-0.3333333333,0.5,0.16666666670000002
OXOXOO.XX,OXOXO..XX,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXOXO.OXX,OXOXO..XX,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXOXO..XX,OXOXO...X,O,7,0.5,0.16666666670000002,0.5,0.16666666670000002,0.0,-0.3333333333
OXOXO...X,OXOX....X,X,6,0.3333333333,-0.16666666670000002,0.3333333333,0.16666666659999999,0.3333333333,0.0
OXOXXOOXX,OXOXXOO.X,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOXXOO.X,OXOXXO..X,X,8,1.0,0.5,0.0,0.0,0.0,-0.5
OXOXXOXOX,OXOXXO.OX,O,9,0.0,0.0,0.0,0.0,1.0,0.0
OXOXXO.OX,OXOXXO..X,X,8,0.0,-0.5,0.0,0.0,1.0,0.5
OXOXXO..X,OXOX.O..X,O,7,0.5,-0.16666666669999997,0.0,0.0,0.5,0.16666666670000002
OXOX.OXOX,OXOX.OX.X,X,8,0.0,-0.5,0.0,0.0,1.0,0.5
OXOX.OX.X,OXOX.O..X,O,7,0.5,-0.16666666669999997,0.0,0.0,0.5,0.16666666670000002
OXOX.OOXX,OXOX.O.XX,X,8,1.0,0.0,0.0,0.0,0.0,0.0
